bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018
10001369,2301a243,Elektrizitätsgenossenschaft Unterneukirchen eG,Elektrizitätsgenossenschaft Unterneukirchen eG,14.0,5.0,19.0,,,,,,,7.0,14.0,21.0,,,,,,
10001370,9a885aa7,EGT Energie GmbH,EGT Energie GmbH,5.0,3.0,8.0,12.0,20.0,32.0,,,,5.0,3.0,8.0,12.0,15.0,27.0,,,
10001372,62aafc13,Elektrizitäts-Genossenschaft Schonstett eG,Elektrizitäts-Genossenschaft Schonstett eG,21.0,21.0,42.0,21.0,21.0,42.0,,,,28.0,28.0,56.0,,,,,,
10001377,17ad771a,Gemeindewerke Niefern-Öschelbronn,Gemeindewerke Niefern-Öschelbronn,3.0,3.0,6.0,3.0,1.0,4.0,,,,3.0,1.0,4.0,60.0,1.0,61.0,,,
10001378,3a81ad4e,Gemeindewerke Holzkirchen GmbH,Gemeindewerke Holzkirchen GmbH,14.0,180.0,194.0,60.0,365.0,425.0,,,,14.0,180.0,194.0,,,,,,
10001386,b14a0f91,Stadtwerke Bad Säckingen GmbH,Stadtwerke Bad Säckingen GmbH,4.0,90.0,94.0,4.0,360.0,364.0,,,,14.0,30.0,44.0,14.0,360.0,374.0,,,
10001388,001714e8,Stadtwerke Bad Wörishofen,Stadtwerke Bad Wörishofen,10.0,25.0,35.0,25.0,300.0,325.0,,,,10.0,25.0,35.0,,,,,,
10001391,55a1c80a,Stadtwerke Bretten GmbH,Stadtwerke Bretten GmbH,3.0,7.0,10.0,,,,,,,3.0,7.0,10.0,,,,,,
10001398,26f76449,Überlandwerk Eppler GmbH,Überlandwerk Eppler GmbH,1.0,20.0,21.0,,,,,,,1.0,1.0,2.0,1.0,,1.0,,,
10001399,aacf42da,Stadtwerke Trostberg Stromversorgung GmbH,Stadtwerke Trostberg Stromversorgung GmbH,10.0,10.0,20.0,,,,,,,10.0,10.0,20.0,40.0,40.0,80.0,,,
10001400,81b64f7a,Stadtwerke Norderney GmbH,Stadtwerke Norderney GmbH,28.0,35.0,63.0,,,,,,,0.0,28.0,28.0,,,,,,
10001402,5ceaaf95,Gemeindewerke Steinhagen GmbH,Gemeindewerke Steinhagen GmbH,14.0,7.0,21.0,14.0,7.0,21.0,,,,14.0,14.0,28.0,,,,,,
10001404,75389faf,SWR Energie GmbH & Co. KG,SWR Energie GmbH & Co. KG,42.0,100.0,142.0,50.0,200.0,250.0,,,,18.0,35.0,53.0,,,,,,
10001405,7e9e82b4,SVI - Stromversorgung Ismaning GmbH,SVI - Stromversorgung Ismaning GmbH,14.0,40.0,54.0,,,,,,,21.0,14.0,35.0,,,,,,
10001406,0ea55cc6,Westenthanner Energieversorgung GmbH,Westenthanner Energieversorgung GmbH,7.0,1.0,8.0,,,,,,,7.0,14.0,21.0,,,,,,
10001407,a4e50fde,Elektrizitätswerk Leitlein GmbH & Co. KG,Elektrizitätswerk Leitlein GmbH & Co. KG,14.0,18.0,32.0,30.0,40.0,70.0,,,,,,,,,,,,
10001411,443dd7e2,naturenergie netze GmbH,naturenergie netze GmbH,10.0,4.0,14.0,33.0,6.0,39.0,62.0,,62.0,7.0,5.0,12.0,32.0,0.0,32.0,94.5,,94.5
10001412,ad8a7b33,Stadtwerke Bad Tölz GmbH,Stadtwerke Bad Tölz GmbH,10.0,25.0,35.0,,,,,,,10.0,30.0,40.0,10.0,90.0,100.0,,,
10001419,6a9bc369,Stadtwerke Wittenberge GmbH,Stadtwerke Wittenberge GmbH,18.0,45.0,63.0,25.0,120.0,145.0,,,,18.0,45.0,63.0,,,,,,
10001422,0a46a247,SEW Stromversorgungs-GmbH,SEW Stromversorgungs GmbH,20.0,10.0,30.0,20.0,40.0,60.0,,,,20.0,20.0,40.0,20.0,40.0,60.0,,,
10001423,4d1a33ad,Stadtwerke Iserlohn GmbH,Stadtwerke Iserlohn GmbH,7.0,29.0,36.0,42.0,126.0,168.0,19.0,660.0,679.0,10.0,30.0,40.0,40.0,120.0,160.0,109.0,0.0,109.0
10001427,e7eac665,Stadtwerke Schwentinental GmbH,Stadtwerke Schwentinental GmbH,5.0,30.0,35.0,,,,,,,10.0,30.0,40.0,10.0,30.0,40.0,,,
10001429,03949506,ENRW Energieversorgung Rottweil GmbH & Co. KG,ENRW Energieversorgung Rottweil GmbH & Co. KG,40.0,60.0,100.0,,,,,,,14.0,36.0,50.0,,,,,,
10001432,a28b0044,wesernetz Bremerhaven GmbH,wesernetz Bremerhaven GmbH,15.0,99.0,114.0,15.0,99.0,114.0,,,,2.0,1.0,3.0,,,,,,
10001436,cce534df,Gemeindewerke Dudenhofen,Gemeindewerke Dudenhofen,7.0,14.0,21.0,21.0,14.0,35.0,,,,7.0,7.0,14.0,,,,,,
10001438,d8c29a4f,Stadtwerke Neu-Isenburg GmbH,Stadtwerke Neu-Isenburg GmbH,31.0,164.0,195.0,47.0,256.0,303.0,,,,27.0,156.0,183.0,43.0,249.0,292.0,,,
10001441,ba0e5a4a,Stadtwerke Neustadt an der Weinstraße GmbH,Stadtwerke Neustadt an der Weinstraße GmbH,15.0,90.0,105.0,30.0,180.0,210.0,,,,15.0,90.0,105.0,30.0,180.0,210.0,,,
10001443,581de4f5,Stadtwerke Neuwied GmbH,Stadtwerke Neuwied GmbH,30.0,90.0,120.0,30.0,180.0,210.0,,,,20.0,20.0,40.0,360.0,200.0,560.0,,,
10001445,bfc951ee,Stadtwerke OELSNITZ/V. GmbH,Stadtwerke Oelsnitz/V. GmbH,7.0,25.0,32.0,49.0,274.0,323.0,,,,7.0,18.0,25.0,50.0,280.0,330.0,,,
10001454,a8036e88,Freisinger Stadtwerke Versorgungs-GmbH,Freisinger Stadtwerke Versorgungs-GmbH,30.0,60.0,90.0,,,,,,,30.0,30.0,60.0,,,,,,
10001457,877a64f7,GEW Wilhelmshaven GmbH,GEW Wilhelmshaven GmbH,14.0,28.0,42.0,16.0,75.0,91.0,,,,14.0,28.0,42.0,,,,,,
10001459,8e556807,Gemeindewerke Oberaudorf Strom- und Wasserversorgung,Gemeindewerke Oberaudorf,7.0,7.0,14.0,,,,,,,7.0,7.0,14.0,,,,,,
10001460,6ad5ca23,Stadtwerke Borken/Westf. GmbH,Stadtwerke Borken/Westf. GmbH,25.0,45.6,70.6,80.67,228.14,308.81,,,,,,,,,,,,
10001462,09bf67a1,"GSW Gemeinschaftsstadtwerke GmbH Kamen, Bönen, Bergkamen","GSW Gemeinschaftsstadtwerke GmbH Kamen, Bönen, Bergkamen",15.0,42.0,57.0,30.0,110.0,140.0,,,,10.0,42.0,52.0,30.0,100.0,130.0,,,
